capital,countryCode,flag,images,images_json,index,name_en,names,names_json,population,sourceLink
True,AF,,"[{'imageCode': 1, 'sourceLink': 'https://unsplash.com/photos/9UZ8sOnrnrs'}, {'imageCode': 2, 'sourceLink': 'https://unsplash.com/photos/a-view-of-a-city-with-mountains-in-the-background-VkwhhTLyhi0'}]","[{""imageCode"":1,""sourceLink"":""https://unsplash.com/photos/9UZ8sOnrnrs""},{""imageCode"":2,""sourceLink"":""https://unsplash.com/photos/a-view-of-a-city-with-mountains-in-the-background-VkwhhTLyhi0""}]",1,Kabul,"{'en': 'Kabul', 'ja': 'カブール', 'nl': 'Kaboel', 'pt': 'Cabul'}","{""en"":""Kabul"",""ja"":""カブール"",""nl"":""Kaboel"",""pt"":""Cabul""}",4950000,https://en.wikipedia.org/wiki/Kabul
False,AF,,"[{'imageCode': 1, 'sourceLink': 'https://www.flickr.com/photos/pthread/4072193513/'}]","[{""imageCode"":1,""sourceLink"":""https://www.flickr.com/photos/pthread/4072193513/""}]",2,Herat,"{'en': 'Herat', 'ja': 'ヘラート'}","{""en"":""Herat"",""ja"":""ヘラート""}",592902,https://en.wikipedia.org/wiki/Herat
False,AF,,"[{'imageCode': 1, 'sourceLink': 'https://en.wikipedia.org/wiki/Mazar-i-Sharif#/media/File:Mazar_sharif_street.jpg'}]","[{""imageCode"":1,""sourceLink"":""https://en.wikipedia.org/wiki/Mazar-i-Sharif#/media/File:Mazar_sharif_street.jpg""}]",3,Mazar-i-Sharif,"{'en': 'Mazar-i-Sharif', 'fr': 'Mazar-e Sharif', 'ja': 'マザーリシャリフ', 'pl': 'Mazar-e-Sharif'}","{""en"":""Mazar-i-Sharif"",""fr"":""Mazar-e Sharif"",""ja"":""マザーリシャリフ"",""pl"":""Mazar-e-Sharif""}",500000,https://en.wikipedia.org/wiki/Mazar-i-Sharif
False,AF,,"[{'imageCode': 1, 'sourceLink': 'https://pixnio.com/miscellaneous/laying-asphalt-over-culvets-on-kabul-kandahar-road'}, {'imageCode': 2, 'sourceLink': 'https://unsplash.com/photos/white-and-green-concrete-building-IvvGLsYJMis'}]","[{""imageCode"":1,""sourceLink"":""https://pixnio.com/miscellaneous/laying-asphalt-over-culvets-on-kabul-kandahar-road""},{""imageCode"":2,""sourceLink"":""https://unsplash.com/photos/white-and-green-concrete-building-IvvGLsYJMis""}]",4,Kandahar,"{'en': 'Kandahar', 'ja': 'カンダハール', 'pt': 'Candaar'}","{""en"":""Kandahar"",""ja"":""カンダハール"",""pt"":""Candaar""}",614118,https://en.wikipedia.org/wiki/Kandahar
True,AL,/data/common/city-flags/5.svg,"[{'imageCode': 1, 'sourceLink': 'https://unsplash.com/photos/a-couple-of-people-walking-down-a-street-next-to-tall-buildings--fb95rZXvU8'}, {'imageCode': 2, 'sourceLink': 'https://upload.wikimedia.org/wikipedia/commons/a/a8/A_MARTYR%27S_TOMB%2C_AFGHANISTAN.jpg'}]","[{""imageCode"":1,""sourceLink"":""https://unsplash.com/photos/a-couple-of-people-walking-down-a-street-next-to-tall-buildings--fb95rZXvU8""},{""imageCode"":2,""sourceLink"":""https://upload.wikimedia.org/wikipedia/commons/a/a8/A_MARTYR%27S_TOMB%2C_AFGHANISTAN.jpg""}]",5,Tirana,"{'en': 'Tirana', 'ja': 'ティラナ'}","{""en"":""Tirana"",""ja"":""ティラナ""}",912190,https://en.wikipedia.org/wiki/Tirana
False,AL,,"[{'imageCode': 1, 'sourceLink': 'https://pixabay.com/photos/city-sunset-albania-city-lights-6577142/'}, {'imageCode': 2, 'sourceLink': 'https://commons.wikimedia.org/wiki/File:Wie%C5%BCa_wenecka_w_Durr%C3%ABs.jpg'}]","[{""imageCode"":1,""sourceLink"":""https://pixabay.com/photos/city-sunset-albania-city-lights-6577142/""},{""imageCode"":2,""sourceLink"":""https://commons.wikimedia.org/wiki/File:Wie%C5%BCa_wenecka_w_Durr%C3%ABs.jpg""}]",6,Durrës,"{'en': 'Durrës', 'ja': 'ドゥラス'}","{""en"":""Durrës"",""ja"":""ドゥラス""}",175110,https://en.wikipedia.org/wiki/Durr%C3%ABs
False,AL,,,,7,Vlorë,"{'en': 'Vlorë', 'ja': 'ヴロラ', 'pl': 'Vlora'}","{""en"":""Vlorë"",""ja"":""ヴロラ"",""pl"":""Vlora""}",104827,https://en.wikipedia.org/wiki/Vlor%C3%AB
False,AL,/data/common/city-flags/8.svg,"[{'imageCode': 1, 'sourceLink': 'https://unsplash.com/photos/16XPtTvxg10'}]","[{""imageCode"":1,""sourceLink"":""https://unsplash.com/photos/16XPtTvxg10""}]",8,Shkodër,"{'en': 'Shkodër', 'es': 'Scutari', 'ja': 'シュコドラ', 'pl': 'Szkodra', 'pt': 'Escodra'}","{""en"":""Shkodër"",""es"":""Scutari"",""ja"":""シュコドラ"",""pl"":""Szkodra"",""pt"":""Escodra""}",135612,https://en.wikipedia.org/wiki/Shkod%C3%ABr
True,DZ,/data/common/city-flags/9.svg,"[{'imageCode': 1, 'sourceLink': 'https://unsplash.com/photos/a-tall-white-building-with-a-clock-on-its-side-xuxy2hIOcMY'}]","[{""imageCode"":1,""sourceLink"":""https://unsplash.com/photos/a-tall-white-building-with-a-clock-on-its-side-xuxy2hIOcMY""}]",9,Algiers,"{'en': 'Algiers', 'eu': 'Argel', 'de': 'Algier', 'es': 'Argel', 'fr': 'Alger', 'ja': 'アルジェ', 'pl': 'Algier', 'pt': 'Argel', 'co': 'Argel'}","{""co"":""Argel"",""de"":""Algier"",""en"":""Algiers"",""es"":""Argel"",""eu"":""Argel"",""fr"":""Alger"",""ja"":""アルジェ"",""pl"":""Algier"",""pt"":""Argel""}",4325000,https://en.wikipedia.org/wiki/Algiers
False,DZ,,"[{'imageCode': 1, 'sourceLink': 'https://pixabay.com/photos/architecture-travel-sky-city-3200537/'}, {'imageCode': 2, 'sourceLink': 'https://unsplash.com/photos/ZBSMnivFVrY'}]","[{""imageCode"":1,""sourceLink"":""https://pixabay.com/photos/architecture-travel-sky-city-3200537/""},{""imageCode"":2,""sourceLink"":""https://unsplash.com/photos/ZBSMnivFVrY""}]",10,Oran,"{'en': 'Oran', 'es': 'Orán', 'ja': 'ウアラン'}","{""en"":""Oran"",""es"":""Orán"",""ja"":""ウアラン""}",937544,https://en.wikipedia.org/wiki/Oran
