board_id,axis,idx,prompt_id,variantId,name,prompt_json
1,row,0,color_on_flag,5,Flag with black,"{""id"":""color_on_flag"",""name"":""Flag with black"",""variantId"":5}"
1,row,1,name_multiple_words,,Name consists of multiple words,"{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null}"
1,row,2,flag_has_star,,Flag with a star/sun,"{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null}"
1,col,0,olympic_medals_over_x,4,More than 50 Olympic medals,"{""id"":""olympic_medals_over_x"",""name"":""More than 50 Olympic medals"",""variantId"":4}"
1,col,1,continent,3,In North America,"{""id"":""continent"",""name"":""In North America"",""variantId"":3}"
1,col,2,gdp_per_capita_over_x,2,GDP per capita over $20k,"{""id"":""gdp_per_capita_over_x"",""name"":""GDP per capita over $20k"",""variantId"":2}"
2,row,0,continent,1,In Europe,"{""id"":""continent"",""name"":""In Europe"",""variantId"":1}"
2,row,1,landlocked,,Is landlocked,"{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null}"
2,row,2,starting_letter,13,Starts with letter S,"{""id"":""starting_letter"",""name"":""Starts with letter S"",""variantId"":13}"
2,col,0,color_on_flag,2,Flag with yellow,"{""id"":""color_on_flag"",""name"":""Flag with yellow"",""variantId"":2}"
2,col,1,population_under_x,2,Population under 2 million,"{""id"":""population_under_x"",""name"":""Population under 2 million"",""variantId"":2}"
2,col,2,olympic_medals_over_x,3,More than 40 Olympic medals,"{""id"":""olympic_medals_over_x"",""name"":""More than 40 Olympic medals"",""variantId"":3}"
3,row,0,ending_letter,6,Ends with letter N,"{""id"":""ending_letter"",""name"":""Ends with letter N"",""variantId"":6}"
3,row,1,continent,3,In North America,"{""id"":""continent"",""name"":""In North America"",""variantId"":3}"
3,row,2,name_length,0,Name is 4 letters long,"{""id"":""name_length"",""name"":""Name is 4 letters long"",""variantId"":0}"
3,col,0,gdp_per_capita_under_x,6,GDP per capita under $60k,"{""id"":""gdp_per_capita_under_x"",""name"":""GDP per capita under $60k"",""variantId"":6}"
3,col,1,color_on_flag,0,Flag with red,"{""id"":""color_on_flag"",""name"":""Flag with red"",""variantId"":0}"
3,col,2,population_over_x,1,Population over 1 million,"{""id"":""population_over_x"",""name"":""Population over 1 million"",""variantId"":1}"
4,row,0,island_nation,,Island nation,"{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null}"
4,row,1,official_language,1,Spanish is an official language,"{""id"":""official_language"",""name"":""Spanish is an official language"",""variantId"":1}"
4,row,2,landlocked,,Is landlocked,"{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null}"
4,col,0,population_over_x,4,Population over 10 million,"{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4}"
4,col,1,ending_letter,0,Ends with letter A,"{""id"":""ending_letter"",""name"":""Ends with letter A"",""variantId"":0}"
4,col,2,flag_has_coat_of_arms,,Flag with a coat of arms,"{""id"":""flag_has_coat_of_arms"",""name"":""Flag with a coat of arms"",""variantId"":null}"
5,row,0,continent,3,In North America,"{""id"":""continent"",""name"":""In North America"",""variantId"":3}"
5,row,1,official_language,2,French is an official language,"{""id"":""official_language"",""name"":""French is an official language"",""variantId"":2}"
5,row,2,olympic_medals_over_x,7,More than 300 Olympic medals,"{""id"":""olympic_medals_over_x"",""name"":""More than 300 Olympic medals"",""variantId"":7}"
5,col,0,color_on_flag,3,Flag with white,"{""id"":""color_on_flag"",""name"":""Flag with white"",""variantId"":3}"
5,col,1,gdp_per_capita_under_x,5,GDP per capita under $50k,"{""id"":""gdp_per_capita_under_x"",""name"":""GDP per capita under $50k"",""variantId"":5}"
5,col,2,population_over_x,1,Population over 1 million,"{""id"":""population_over_x"",""name"":""Population over 1 million"",""variantId"":1}"
6,row,0,continent,0,In Asia,"{""id"":""continent"",""name"":""In Asia"",""variantId"":0}"
6,row,1,population_over_x,4,Population over 10 million,"{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4}"
6,row,2,capital_population_over_x,3,Capital city population over 500k,"{""id"":""capital_population_over_x"",""name"":""Capital city population over 500k"",""variantId"":3}"
