answers_keys_json,board_id,columns_json,date,grid_id,rows_json
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",1,"[{""id"":""olympic_medals_over_x"",""name"":""More than 50 Olympic medals"",""variantId"":4},{""id"":""continent"",""name"":""In North America"",""variantId"":3},{""id"":""gdp_per_capita_over_x"",""name"":""GDP per capita over $20k"",""variantId"":2}]",2024-04-07,1,"[{""id"":""color_on_flag"",""name"":""Flag with black"",""variantId"":5},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",2,"[{""id"":""color_on_flag"",""name"":""Flag with yellow"",""variantId"":2},{""id"":""population_under_x"",""name"":""Population under 2 million"",""variantId"":2},{""id"":""olympic_medals_over_x"",""name"":""More than 40 Olympic medals"",""variantId"":3}]",2024-04-08,2,"[{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null},{""id"":""starting_letter"",""name"":""Starts with letter S"",""variantId"":13}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",3,"[{""id"":""gdp_per_capita_under_x"",""name"":""GDP per capita under $60k"",""variantId"":6},{""id"":""color_on_flag"",""name"":""Flag with red"",""variantId"":0},{""id"":""population_over_x"",""name"":""Population over 1 million"",""variantId"":1}]",2024-04-09,3,"[{""id"":""ending_letter"",""name"":""Ends with letter N"",""variantId"":6},{""id"":""continent"",""name"":""In North America"",""variantId"":3},{""id"":""name_length"",""name"":""Name is 4 letters long"",""variantId"":0}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",4,"[{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4},{""id"":""ending_letter"",""name"":""Ends with letter A"",""variantId"":0},{""id"":""flag_has_coat_of_arms"",""name"":""Flag with a coat of arms"",""variantId"":null}]",2024-04-10,4,"[{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null},{""id"":""official_language"",""name"":""Spanish is an official language"",""variantId"":1},{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",5,"[{""id"":""color_on_flag"",""name"":""Flag with white"",""variantId"":3},{""id"":""gdp_per_capita_under_x"",""name"":""GDP per capita under $50k"",""variantId"":5},{""id"":""population_over_x"",""name"":""Population over 1 million"",""variantId"":1}]",2024-04-11,5,"[{""id"":""continent"",""name"":""In North America"",""variantId"":3},{""id"":""official_language"",""name"":""French is an official language"",""variantId"":2},{""id"":""olympic_medals_over_x"",""name"":""More than 300 Olympic medals"",""variantId"":7}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",6,"[{""id"":""drives_left"",""name"":""Drives on the left"",""variantId"":null},{""id"":""ending_letter"",""name"":""Ends with letter N"",""variantId"":6},{""id"":""gdp_per_capita_over_x"",""name"":""GDP per capita over $20k"",""variantId"":2}]",2024-04-12,6,"[{""id"":""continent"",""name"":""In Asia"",""variantId"":0},{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4},{""id"":""capital_population_over_x"",""name"":""Capital city population over 500k"",""variantId"":3}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",7,"[{""id"":""flag_has_animal"",""name"":""Flag with an animal"",""variantId"":null},{""id"":""ending_letter"",""name"":""Ends with letter A"",""variantId"":0},{""id"":""coastline_on_x"",""name"":""Coastline on the North Atlantic Ocean"",""variantId"":5}]",2024-04-13,7,"[{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null},{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",8,"[{""id"":""color_on_flag"",""name"":""Flag with red"",""variantId"":0},{""id"":""size_under_x"",""name"":""Area less than 2 million km²"",""variantId"":8},{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4}]",2024-04-14,8,"[{""id"":""won_world_cup"",""name"":""Has won the Men's FIFA World Cup"",""variantId"":null},{""id"":""borders_x"",""name"":""Borders China"",""variantId"":1},{""id"":""starting_letter"",""name"":""Starts with letter S"",""variantId"":13}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",9,"[{""id"":""capital_population_over_x"",""name"":""Capital city population over 1 million"",""variantId"":4},{""id"":""continent"",""name"":""In Asia"",""variantId"":0},{""id"":""ending_letter"",""name"":""Ends with letter A"",""variantId"":0}]",2024-04-15,9,"[{""id"":""50_plus_skyscrapers"",""name"":""Has 50+ skyscrapers"",""variantId"":null},{""id"":""borders_x"",""name"":""Borders Russia"",""variantId"":0},{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",10,"[{""id"":""continent"",""name"":""In North America"",""variantId"":3},{""id"":""top_20_tourism"",""name"":""Top 20 in annual tourist arrivals"",""variantId"":null},{""id"":""official_language"",""name"":""French is an official language"",""variantId"":2}]",2024-04-16,10,"[{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4},{""id"":""color_on_flag"",""name"":""Flag with green"",""variantId"":4},{""id"":""capital_population_over_x"",""name"":""Capital city population over 1 million"",""variantId"":4}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",11,"[{""id"":""hdi_over_x"",""name"":""Human Development Index over 0.8"",""variantId"":8},{""id"":""coastline_length_over_x"",""name"":""Has coastline, with length greater than 1,000 km"",""variantId"":2},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null}]",2024-04-17,11,"[{""id"":""has_nuclear_weapons"",""name"":""Has nuclear weapons"",""variantId"":null},{""id"":""name_length"",""name"":""Name is 5 letters long"",""variantId"":1},{""id"":""population_under_x"",""name"":""Population under 2 million"",""variantId"":2}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",12,"[{""id"":""color_on_flag"",""name"":""Flag with blue"",""variantId"":1},{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null}]",2024-04-18,12,"[{""id"":""continent"",""name"":""In Africa"",""variantId"":2},{""id"":""population_over_x"",""name"":""Population over 20 million"",""variantId"":5},{""id"":""captial_population_under_x"",""name"":""Capital city population under 50k"",""variantId"":0}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",13,"[{""id"":""population_under_x"",""name"":""Population under 5 million"",""variantId"":3},{""id"":""captial_population_under_x"",""name"":""Capital city population under 200k"",""variantId"":2},{""id"":""color_on_flag"",""name"":""Flag with green"",""variantId"":4}]",2024-04-19,13,"[{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""top_20_population_density"",""name"":""Top 20 in population density"",""variantId"":null},{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",14,"[{""id"":""borders_x"",""name"":""Borders France"",""variantId"":3},{""id"":""name_length"",""name"":""Name is 6 letters long"",""variantId"":2},{""id"":""ending_letter"",""name"":""Ends with letter D"",""variantId"":2}]",2024-04-20,14,"[{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""population_over_x"",""name"":""Population over 1 million"",""variantId"":1},{""id"":""color_on_flag"",""name"":""Flag with red"",""variantId"":0}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",15,"[{""id"":""continent"",""name"":""In North America"",""variantId"":3},{""id"":""population_over_x"",""name"":""Population over 20 million"",""variantId"":5},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null}]",2024-04-21,15,"[{""id"":""official_language"",""name"":""Spanish is an official language"",""variantId"":1},{""id"":""color_on_flag"",""name"":""Flag with black"",""variantId"":5},{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",16,"[{""id"":""official_language"",""name"":""French is an official language"",""variantId"":2},{""id"":""continent"",""name"":""In South America"",""variantId"":4},{""id"":""ending_letter"",""name"":""Ends with letter O"",""variantId"":7}]",2024-04-22,16,"[{""id"":""color_on_flag"",""name"":""Flag with white"",""variantId"":3},{""id"":""olympic_medals_under_x"",""name"":""Fewer than 40 Olympic medals"",""variantId"":3},{""id"":""captial_population_under_x"",""name"":""Capital city population under 2 million"",""variantId"":5}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",17,"[{""id"":""population_over_x"",""name"":""Population over 2 million"",""variantId"":2},{""id"":""ending_letter"",""name"":""Ends with letter A"",""variantId"":0},{""id"":""color_on_flag"",""name"":""Flag with yellow"",""variantId"":2}]",2024-04-23,17,"[{""id"":""official_language"",""name"":""Arabic is an official language"",""variantId"":0},{""id"":""starting_letter"",""name"":""Starts with letter C"",""variantId"":2},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null}]"
