section_idx,section_name,category_idx,category_name,ids_json,description_json,stats_json,sources_json
0,Flag,0,Flag with color,"[""color_on_flag""]","[""Color must appear on the flag."",""Accepted Colors: Only the following colors are recognized: black, white, grey, pink, red, orange, yellow, green, blue, light blue, purple, brown. Any other shades will be categorized under the closest matching color on this list."",""Shades Don't Count Separately: Different shades of the same color (e.g., dark red or pale yellow) do not count as separate colors. They will all be classified under the primary color (e.g., \""red\"" or \""yellow\"")."",""Exception for Blue: If a flag contains only one blue, it will be classified as \""blue.\"" If there are two blues, and one is significantly lighter, the colors will be classified as \""blue\"" and \""light blue.\"""",""Counting Colors: The total number of colors on the flag will only reflect these accepted colors, with no distinction made for minor shade variations (except for the exception mentioned with blue).""]",[],[]
0,Flag,1,Star in flag,"[""flag_has_star""]","[""Has/Does not have a star in the flag, including symbols of the sun.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_national_flags_by_design#Sun"",""name"":""Wikipedia - National Flags with a Sun""},{""link"":""https://en.wikipedia.org/wiki/List_of_national_flags_by_design#Star"",""name"":""Wikipedia - National Flags with a Star""}]"
0,Flag,2,"Flag with only red, white, and blue","[""flag_rwb""]","[""Flag consists of only red, white, and blue."",""Accepted Colors: Only the following colors are recognized: black, white, grey, pink, red, orange, yellow, green, blue, light blue, purple, brown. Any other shades will be categorized under the closest matching color on this list."",""Shades Don't Count Separately: Different shades of the same color (e.g., dark red or pale yellow) do not count as separate colors. They will all be classified under the primary color (e.g., \""red\"" or \""yellow\"")."",""Exception for Blue: If a flag contains only one blue, it will be classified as \""blue.\"" If there are two blues, and one is significantly lighter, the colors will be classified as \""blue\"" and \""light blue.\"""",""Counting Colors: The total number of colors on the flag will only reflect these accepted colors, with no distinction made for minor shade variations (except for the exception mentioned with blue).""]",[],[]
0,Flag,3,"Flag without red, white, or blue","[""flag_without_rwb""]","[""Flag does not consist of red, white, or blue."",""Accepted Colors: Only the following colors are recognized: black, white, grey, pink, red, orange, yellow, green, blue, light blue, purple, brown. Any other shades will be categorized under the closest matching color on this list."",""Shades Don't Count Separately: Different shades of the same color (e.g., dark red or pale yellow) do not count as separate colors. They will all be classified under the primary color (e.g., \""red\"" or \""yellow\"")."",""Exception for Blue: If a flag contains only one blue, it will be classified as \""blue.\"" If there are two blues, and one is significantly lighter, the colors will be classified as \""blue\"" and \""light blue.\"""",""Counting Colors: The total number of colors on the flag will only reflect these accepted colors, with no distinction made for minor shade variations (except for the exception mentioned with blue).""]",[],[]
0,Flag,4,Flag has a coat of arms,"[""flag_has_coat_of_arms""]","[""The flag has a coat of arms, national emblem, or national seal."",""Even though the design of an emblem doesn't follow the rules of heraldry and so not containing a shield (escutcheon) in the center, we decided to include them in this category. Many unheraldic national emblems are colloquially called national coats of arms anyway, because they are used for the same purposes as national coats of arms.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_national_flags_by_design#Coat_of_arms"",""name"":""Wikipedia - Flags with coats of arms""},{""link"":""https://en.wikipedia.org/wiki/National_emblem"",""name"":""Wikipedia - National emblems""}]"
0,Flag,5,Flag has an animal,"[""flag_has_animal""]","[""Flag contains a depiction of an animal (including humans).""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_national_flags_by_design"",""name"":""Wikipedia - Flags with animals""}]"
0,Flag,6,Flag with only # colors,"[""flag_has_x_colors"",""flag_has_x_or_more_colors""]","[""Country with a flag consisting of only a specified number of colors."",""Accepted Colors: Only the following colors are recognized: black, white, grey, pink, red, orange, yellow, green, blue, light blue, purple, brown. Any other shades will be categorized under the closest matching color on this list."",""Shades Don't Count Separately: Different shades of the same color (e.g., dark red or pale yellow) do not count as separate colors. They will all be classified under the primary color (e.g., \""red\"" or \""yellow\"")."",""Exception for Blue: If a flag contains only one blue, it will be classified as \""blue.\"" If there are two blues, and one is significantly lighter, the colors will be classified as \""blue\"" and \""light blue.\"""",""Counting Colors: The total number of colors on the flag will only reflect these accepted colors, with no distinction made for minor shade variations (except for the exception mentioned with blue).""]",[],[]
1,Geography,0,Island nation,"[""island_nation""]","[""The country is entirely surrounded by water and does not share land borders with any other country, being composed of one or more islands."",""Exceptions:"",""Australia is not included as it is considered a continental country, while Greenland is regarded as the largest island."",""Even though the following countries de facto have a land border with another country, we include them in this category based on their geographical location, being situated on an island without mainland territory: Brunei, Dominican Republic, Haiti, Indonesia, Ireland, Papua New Guinea, Timor-Leste, Sint Maarten, Saint Martin.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_island_countries"",""name"":""Wikipedia - List of island countries""}]"
1,Geography,1,Landlocked,"[""landlocked""]","[""Does not border an ocean or a sea. The Caspian Sea is not considered a sea, so, for example, Turkmenistan is a landlocked country.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Landlocked_country#List_of_landlocked_countries_and_landlocked_de_facto_states"",""name"":""Wikipedia - List of landlocked countries""}]"
1,Geography,2,Coastline length,"[""coastline_length_over_x"",""coastline_length_under_x""]","[""Over or under specified length of coastline. Excludes overseas departments and landlocked countries. For countries where data is not available from our listed source, the World Resources Institute, we have used an alternative source, The World Factbook.""]","[""25th percentile: 72 km"",""50th percentile: 445 km"",""75th percentile: 2,400 km"",""Average: 3,800 km""]","[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_length_of_coastline"",""name"":""World Resources Institute""}]"
1,Geography,3,Coastline on the X,"[""coastline_on_x""]",[],[],[]
1,Geography,4,Is part of the X River system,"[""river_x_runs_through""]",[],[],[]
1,Geography,5,In X Continent,"[""continent""]",[],[],[]
1,Geography,6,Touches the Eurasian Steppe,"[""touches_eurasian_steppe""]","[""The country lies within or borders the Eurasian Steppe, a vast grassland region stretching from Eastern Europe to Central Asia.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Eurasian_Steppe"",""name"":""Wikipedia - Eurasian Steppe""}]"
