code,section,key,value_type,value_json
AF,flagInfo,colorsOnFlag,list,"[""black"",""white"",""red"",""green""]"
AF,flagInfo,hasStar,bool,false
AF,flagInfo,hasCoatOfArms,bool,true
AF,flagInfo,hasAnimal,bool,false
AF,geographyInfo,islandNation,bool,false
AF,geographyInfo,landlocked,bool,true
AF,geographyInfo,coastlineLength,int,0
AF,geographyInfo,coastline,list,[]
AF,geographyInfo,touchesSahara,bool,false
AF,geographyInfo,rivers,list,[]
AF,geographyInfo,touchesEurasionSteppe,bool,true
AF,geographyInfo,touchesEquator,bool,false
AF,geographyInfo,top10Lakes,bool,false
AF,economicInfo,HDI,float,0.496
AF,economicInfo,GDPPerCapita,int,411
AF,economicInfo,top20WheatProduction,bool,false
AF,economicInfo,top20OilProduction,bool,false
AF,economicInfo,top20RenewableElectricityProduction,bool,false
AF,economicInfo,producesNuclearPower,bool,false
AF,economicInfo,GDPPerCapitaYear,int,2023
AF,politicalInfo,isMonarchy,bool,false
AF,politicalInfo,inEU,bool,false
AF,politicalInfo,hasNuclearWeapons,bool,false
AF,politicalInfo,wasUSSR,bool,false
AF,politicalInfo,inCommonwealth,bool,false
AF,politicalInfo,officialLanguageCodes,list,[]
AF,politicalInfo,timeZones,list,"[""UTC+04:30""]"
AF,politicalInfo,observesDST,bool,false
AF,politicalInfo,sameSexMarriageLegal,bool,false
AF,politicalInfo,sameSexActivitiesIllegal,bool,true
AF,politicalInfo,CPI,int,17
AF,politicalInfo,isTerritory,bool,false
AF,sportsInfo,olympicMedals,int,2
AF,sportsInfo,hostedF1,bool,false
AF,sportsInfo,hostedOlympics,bool,false
AF,sportsInfo,hostedMensWorldCup,bool,false
AF,sportsInfo,playedMensWorldCup,bool,false
AF,sportsInfo,wonMensWorldCup,bool,false
AF,factsInfo,drivesLeft,bool,false
AF,factsInfo,hasAlcoholBan,bool,true
AF,factsInfo,has50Skyscrapers,bool,false
AF,factsInfo,top20ObesityRate,bool,false
AF,factsInfo,top20ChocolateConsumption,bool,false
AF,factsInfo,top20AlcoholConsumption,bool,false
AF,factsInfo,top20PopulationDensity,bool,false
AF,factsInfo,bottom20PopulationDensity,bool,false
AF,factsInfo,top20TourismRate,bool,false
AF,factsInfo,top20RailSize,bool,false
AF,factsInfo,top20WorldHeritageSites,bool,false
AF,factsInfo,airPollution,float,16.98
AF,factsInfo,co2Emissions,float,0.21
AF,geographyInfo,borderCount,int,6
AF,geographyInfo,borderCountriesCodes,list,"[""cn"",""ir"",""pk"",""tj"",""tm"",""uz""]"
AL,flagInfo,colorsOnFlag,list,"[""red"",""black""]"
AL,flagInfo,hasStar,bool,false
AL,flagInfo,hasCoatOfArms,bool,true
AL,flagInfo,hasAnimal,bool,true
AL,geographyInfo,islandNation,bool,false
AL,geographyInfo,landlocked,bool,false
AL,geographyInfo,coastlineLength,int,649
AL,geographyInfo,coastline,list,"[""Mediterranean Sea""]"
AL,geographyInfo,touchesSahara,bool,false
AL,geographyInfo,borderCountOverride,int,4
AL,geographyInfo,rivers,list,[]
AL,geographyInfo,touchesEurasionSteppe,bool,false
AL,geographyInfo,touchesEquator,bool,false
AL,geographyInfo,top10Lakes,bool,false
AL,economicInfo,HDI,float,0.81
AL,economicInfo,GDPPerCapita,int,10526
AL,economicInfo,top20WheatProduction,bool,false
AL,economicInfo,top20OilProduction,bool,false
AL,economicInfo,top20RenewableElectricityProduction,bool,true
AL,economicInfo,producesNuclearPower,bool,false
AL,economicInfo,GDPPerCapitaYear,int,2025
AL,politicalInfo,isMonarchy,bool,false
AL,politicalInfo,inEU,bool,false
AL,politicalInfo,hasNuclearWeapons,bool,false
AL,politicalInfo,wasUSSR,bool,false
AL,politicalInfo,inCommonwealth,bool,false
AL,politicalInfo,officialLanguageCodes,list,[]
AL,politicalInfo,timeZones,list,"[""UTC+01:00""]"
AL,politicalInfo,observesDST,bool,true
AL,politicalInfo,sameSexMarriageLegal,bool,false
AL,politicalInfo,sameSexActivitiesIllegal,bool,false
AL,politicalInfo,CPI,int,42
AL,politicalInfo,isTerritory,bool,false
AL,sportsInfo,olympicMedals,int,2
AL,sportsInfo,hostedF1,bool,false
AL,sportsInfo,hostedOlympics,bool,false
AL,sportsInfo,hostedMensWorldCup,bool,false
AL,sportsInfo,playedMensWorldCup,bool,false
AL,sportsInfo,wonMensWorldCup,bool,false
AL,factsInfo,drivesLeft,bool,false
AL,factsInfo,hasAlcoholBan,bool,false
AL,factsInfo,has50Skyscrapers,bool,false
AL,factsInfo,top20ObesityRate,bool,false
AL,factsInfo,top20ChocolateConsumption,bool,false
AL,factsInfo,top20AlcoholConsumption,bool,false
AL,factsInfo,top20PopulationDensity,bool,false
AL,factsInfo,bottom20PopulationDensity,bool,false
AL,factsInfo,top20TourismRate,bool,false
AL,factsInfo,top20RailSize,bool,false
AL,factsInfo,top20WorldHeritageSites,bool,false
AL,factsInfo,airPollution,float,12.6
AL,factsInfo,co2Emissions,float,1.56
AL,geographyInfo,borderCount,int,4
AL,geographyInfo,borderCountriesCodes,list,"[""gr"",""me"",""mk"",""xk""]"
DZ,flagInfo,colorsOnFlag,list,"[""green"",""white"",""red""]"
DZ,flagInfo,hasStar,bool,true
DZ,flagInfo,hasCoatOfArms,bool,false
DZ,flagInfo,hasAnimal,bool,false
DZ,geographyInfo,islandNation,bool,false
DZ,geographyInfo,landlocked,bool,false
DZ,geographyInfo,coastlineLength,int,1557
DZ,geographyInfo,coastline,list,"[""Mediterranean Sea""]"
DZ,geographyInfo,touchesSahara,bool,true
DZ,geographyInfo,rivers,list,"[""Niger""]"
DZ,geographyInfo,touchesEurasionSteppe,bool,false
DZ,geographyInfo,touchesEquator,bool,false
DZ,geographyInfo,top10Lakes,bool,false
DZ,economicInfo,HDI,float,0.763
DZ,economicInfo,GDPPerCapita,int,5690
DZ,economicInfo,top20WheatProduction,bool,false
DZ,economicInfo,top20OilProduction,bool,true
DZ,economicInfo,top20RenewableElectricityProduction,bool,false
DZ,economicInfo,producesNuclearPower,bool,false
DZ,economicInfo,GDPPerCapitaYear,int,2025
DZ,politicalInfo,isMonarchy,bool,false
DZ,politicalInfo,inEU,bool,false
DZ,politicalInfo,hasNuclearWeapons,bool,false
DZ,politicalInfo,wasUSSR,bool,false
DZ,politicalInfo,inCommonwealth,bool,false
