code,Country,Rarity,flag_svg,Continent codes,Population,Area km²,Flag - Colors on flag,Flag - Has star,Flag - Has coat of arms,Flag - Has animal,Geography - Landlocked,Geography - Island nation,Geography - Coastline length,Geography - Coastline,Geography - Touches sahara,Geography - Rivers,Geography - Touches eurasion steppe,Geography - Touches equator,Geography - Top10 lakes,Geography - Border count,Geography - Border countries codes_json,Economy - H d i,Economy - G d p per capita,Economy - G d p per capita year,Economy - Top20 wheat production,Economy - Top20 oil production,Economy - Top20 renewable electricity production,Economy - Produces nuclear power,Politics - Is monarchy,Politics - In e u,Politics - Has nuclear weapons,Politics - Was u s s r,Politics - In commonwealth,Politics - Time zones,Politics - Observes d s t,Politics - Same sex marriage legal,Politics - Same sex activities illegal,Politics - C p i,Politics - Is territory,Sports - Olympic medals,Sports - Hosted f1,Sports - Hosted olympics,Sports - Hosted mens world cup,Sports - Played mens world cup,Sports - Won mens world cup,Facts - Drives left,Facts - Has alcohol ban,Facts - Has50 skyscrapers,Facts - Top20 obesity rate,Facts - Top20 chocolate consumption,Facts - Top20 alcohol consumption,Facts - Top20 population density,Facts - Bottom20 population density,Facts - Top20 tourism rate,Facts - Top20 rail size,Facts - Top20 world heritage sites,Facts - Air pollution,Facts - Co2 emissions
AD,Andorra,19,/flags/ad.svg,"[""EU""]",87486,468,"[""blue"",""yellow"",""red"",""brown"",""white""]",False,True,True,True,False,0,[],False,[],False,False,False,2,"[""fr"",""es""]",0.913,44900,2024,False,False,False,False,True,False,False,False,False,"[""UTC+01:00""]",True,True,False,,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,8.72,4.68
AE,United Arab Emirates,12,/flags/ae.svg,"[""AS""]",11027129,83600,"[""red"",""green"",""white"",""black""]",False,False,False,False,False,2871,"[""Indian Ocean""]",False,[],False,False,False,2,"[""om"",""sa""]",0.94,49550,2025,False,True,False,True,True,False,False,False,False,"[""UTC+04:00""]",False,False,True,68,False,2,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,20.71,20.22
AF,Afghanistan,35,/flags/af.svg,"[""AS""]",35000000,652090,"[""black"",""white"",""red"",""green""]",False,True,False,True,False,0,[],False,[],True,False,False,6,"[""cn"",""ir"",""pk"",""tj"",""tm"",""uz""]",0.496,411,2023,False,False,False,False,False,False,False,False,False,"[""UTC+04:30""]",False,False,True,17,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16.98,0.21
AG,Antigua and Barbuda,53,/flags/ag.svg,"[""NA""]",100772,442,"[""red"",""black"",""yellow"",""blue"",""white""]",True,False,False,False,True,289,"[""Atlantic Ocean"",""Caribbean Sea"",""North Atlantic Ocean""]",False,[],False,False,False,5,"[""ms"",""kn"",""gp"",""ai"",""dm""]",0.851,22630,2025,False,False,False,False,True,False,False,False,True,"[""UTC-04:00""]",False,False,False,,False,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.79,2.99
AI,Anguilla,49,/flags/ai.svg,"[""NA""]",15753,91,"[""blue"",""white"",""red"",""yellow"",""light blue""]",False,True,True,False,True,61,"[""Atlantic Ocean"",""Caribbean Sea"",""North Atlantic Ocean""]",False,[],False,False,False,7,"[""vg"",""ag"",""vi"",""mf"",""bl"",""sx"",""bq""]",0.87,28850,2020,False,False,False,False,True,False,False,False,True,"[""UTC-04:00""]",False,False,False,,False,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,1.43
AL,Albania,83,/flags/al.svg,"[""EU""]",2402113,28748,"[""red"",""black""]",False,True,True,False,False,649,"[""Mediterranean Sea""]",False,[],False,False,False,4,"[""gr"",""me"",""mk"",""xk""]",0.81,10526,2025,False,False,True,False,False,False,False,False,False,"[""UTC+01:00""]",True,False,False,42,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.6,1.56
AM,Armenia,76,/flags/am.svg,"[""AS""]",3081100,29800,"[""red"",""blue"",""orange""]",False,False,False,True,False,0,[],False,[],False,False,False,4,"[""az"",""ge"",""ir"",""tr""]",0.811,8969,2025,False,False,False,True,False,False,False,True,False,"[""UTC+04:00""]",False,False,False,47,False,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.51,2.63
AO,Angola,38,/flags/ao.svg,"[""AF""]",36604681,1246700,"[""red"",""black"",""yellow""]",True,False,False,False,False,2252,"[""Atlantic Ocean"",""South Atlantic Ocean""]",False,"[""Congo"",""Zambezi""]",False,False,False,4,"[""cg"",""cd"",""na"",""zm""]",0.616,2880,2025,False,True,False,False,False,False,False,False,False,"[""UTC+01:00""]",False,False,False,32,False,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,21.07,0.78
AQ,Antarctica,,/flags/aq.svg,"[""AN""]",,14200000,"[""blue"",""white""]",False,False,False,False,False,17968,[],False,[],False,False,False,8,"[""bv"",""gs"",""fk"",""hm"",""tf"",""cl"",""ar"",""tf""]",,,,False,False,False,False,False,False,False,False,False,"[""UTC+12:00"",""UTC+11:00"",""UTC+10:00"",""UTC+08:00"",""UTC+05:00"",""UTC+03:00""]",False,False,False,,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
AR,Argentina,12,/flags/ar.svg,"[""SA""]",46735004,2780400,"[""blue"",""yellow"",""white"",""brown""]",True,False,False,False,False,8397,"[""Atlantic Ocean"",""South Atlantic Ocean""]",False,[],False,False,True,5,"[""bo"",""br"",""cl"",""py"",""uy""]",0.865,14362,2025,True,False,False,True,False,False,False,False,False,"[""UTC-03:00""]",False,True,False,37,False,80,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,12.44,3.93
